node,closeness,dist_to_best,dist_to_worst,rank
4,0.994184844765681,0.0006889374991404587,0.11778382399733787,1
5,0.8648919965858713,0.016362118990027832,0.1047418761587658,2
6,0.8308788536544413,0.020010631076124046,0.09831065226733851,3
0,0.7416977912616792,0.03129888559341439,0.08987268992773215,4
7,0.678655800552085,0.03891560040688618,0.08218694469504839,5
3,0.5744276052698329,0.05035737181529713,0.06797119563613749,6
10,0.39904040709907795,0.07169159925888083,0.04760360811573604,7
12,0.39431075728700266,0.07209181005392339,0.04693260869092744,8
8,0.3316492194554343,0.07986095815194887,0.03962862797059435,9
1,0.30699788028490044,0.08301291091793817,0.03677447292450324,10
25,0.2874520338368743,0.08514570834979503,0.03434899571662899,11
14,0.26566943966578743,0.08763844936251236,0.03170623557423583,12
22,0.2426600781911041,0.09095314970741171,0.029142394034916533,13
16,0.21428389216131266,0.09393971146795106,0.025619644043235044,14
34,0.19328976232256248,0.0963500041502999,0.023085698596818797,15
9,0.15941830628075487,0.10177890319274477,0.019302609708652052,16
13,0.15672060641413613,0.10097127470276979,0.018765167893569728,17
19,0.14882008425255658,0.1017485930278215,0.01778969863695937,18
20,0.13873326098211042,0.10530791845488634,0.016963050205728525,19
26,0.1367277583163015,0.10267940957712851,0.016262686113178736,20
29,0.13098117575407564,0.10365036321677476,0.015622499838539973,21
56,0.12914767052027737,0.10681964709400814,0.015841386789688192,22
21,0.1186626904707813,0.10980404087810955,0.014783945686039477,23
18,0.1182008088130938,0.1074732580738328,0.014406257294255993,24
11,0.11550943384398897,0.10892700382096654,0.014225246738768012,25
30,0.11227750579188257,0.10745247487702327,0.013590391084005471,26
44,0.10630889389697082,0.10991001044477122,0.01307432910408879,27
41,0.10551434651783878,0.10825299619407279,0.012769622528376833,28
24,0.10413692783715053,0.11022455361577592,0.012812724112018808,29
27,0.10381065504938354,0.1072019859363895,0.012417809300404738,30
23,0.09994667249537562,0.10853625184609703,0.012052438322974514,31
31,0.09982037995458992,0.108698002573162,0.012053456527499118,32
2,0.09930181391165363,0.11328083102377043,0.012489191358243232,33
74,0.09905382336142539,0.11330282318491561,0.012456990356496863,34
69,0.09867809691966875,0.10846963827724095,0.011875421469491379,35
15,0.09618605212835121,0.10960932221325201,0.011664887452759586,36
46,0.09539299124374363,0.10867420767292539,0.011459957352328496,37
49,0.09476210058039528,0.10893610359743862,0.01140364760750236,38
58,0.09215052921852068,0.11122335534589145,0.011289637089021885,39
39,0.0919106596792158,0.10929274437835837,0.011061872205677857,40
85,0.09080820839529076,0.11005019512087821,0.010991587412861282,41
76,0.08893333593659963,0.10880386535822072,0.010620837190932314,42
51,0.08676323094074274,0.10920288885413645,0.010374960564507135,43
86,0.0860418633212763,0.11378376748450547,0.010711833482503543,44
43,0.08592031550279128,0.11110363728360168,0.010443356012408884,45
33,0.08564169056659478,0.11164118071753756,0.01045666600812687,46
45,0.08539511862907385,0.1088541411263724,0.010163527971575083,47
67,0.08530853518040653,0.11173803291989369,0.010421227571218487,48
64,0.07975733085832538,0.11143992023218484,0.009658485622139081,49
83,0.07936721073339416,0.11420561488081701,0.009845598819485199,50
72,0.07859137513185356,0.1138818439798409,0.009713530435215601,51
38,0.0776792936842001,0.1138421459455942,0.00958796373971843,52
93,0.07523173506006023,0.11421421597525691,0.009291553313522365,53
37,0.07352745202128234,0.11210597459089404,0.008897043615609007,54
91,0.07338242870377992,0.11429306131420276,0.009051309497070881,55
62,0.0712847121388664,0.11373408373279538,0.00872980290648809,56
54,0.07040247007525169,0.11206050063530452,0.008486829825412077,57
53,0.06917376339102152,0.11218947978074659,0.008337290274054896,58
78,0.06884641273105065,0.11205057195607278,0.00828464823538281,59
71,0.0680763179555592,0.11252432012737566,0.008219816217052697,60
80,0.06432528616879402,0.11231111766727661,0.007721107215031507,61
36,0.06409775650960985,0.11226103303564385,0.007688495685404191,62
95,0.06339601057621747,0.11281076119476507,0.007635833597307619,63
17,0.06324821761027564,0.11464552695275458,0.007740711438257824,64
55,0.056847350913869846,0.11481835158496317,0.00692053309740152,65
68,0.0553852429536443,0.1150361852487433,0.006744873527472763,66
66,0.05460155748947722,0.11503707676046514,0.006643974939791619,67
42,0.05370710964886145,0.1137806720176537,0.006457652900367599,68
84,0.05363700961582858,0.11498344484830433,0.006516916024459053,69
40,0.052772468898058866,0.1149991874666486,0.0064068989177560424,70
99,0.05119100366808505,0.115205190120433,0.0062156549240543375,71
52,0.04950252961182305,0.11534171449766233,0.006007071891592896,72
94,0.049483467620141115,0.11542972149026622,0.006009219925364581,73
79,0.046902187954178956,0.11526425071954392,0.005672183361790942,74
82,0.046451203941818835,0.1155711901387948,0.0056299383367983645,75
48,0.045915691814710655,0.11387642825410493,0.005480349000415633,76
28,0.04308411009801837,0.1155786452008997,0.005203804354555586,77
57,0.041565781595520504,0.11554021208777714,0.005010796911169858,78
81,0.04134673733757745,0.11351943139705456,0.00489609569538175,79
61,0.04061339970684777,0.11405181080193035,0.004828118068329494,80
87,0.03947787098682978,0.11579490835817619,0.0047592203396629685,81
47,0.038381888124981695,0.11586027034721397,0.00462443030105372,82
77,0.03618825021696588,0.11559048048975874,0.004340077023966922,83
50,0.03463060067631615,0.11593023833924962,0.004158753937145038,84
65,0.03327885002724724,0.11591054878610593,0.003990157626878718,85
98,0.030640428117290154,0.11604530453847814,0.0036680690171082488,86
60,0.028734610894030413,0.11618117813546577,0.0034371871832121936,87
35,0.02551090160178626,0.11633384189598979,0.0030454739806166672,88
63,0.025008394247137185,0.11629890711229897,0.0029830502154218363,89
32,0.024356387262448195,0.11647136301448244,0.002907641259092653,90
96,0.024263918311483994,0.11629254179713158,0.002891881101206641,91
75,0.02414522527830815,0.11637246985073421,0.0028793623534203137,92
97,0.02261724922999005,0.11642524618602082,0.0026941531427454157,93
70,0.02258510845926059,0.11652653955984808,0.002692576670479135,94
88,0.02182667404201066,0.11653098601791473,0.0026002384036756736,95
59,0.017072261660959574,0.11673922832875597,0.0020276186889331446,96
73,0.013104167776196473,0.11697528771179963,0.0015532174174757894,97
92,0.01266491140826185,0.11705983592940784,0.0015015696987192273,98
90,0.012641121180527858,0.11707305160939402,0.0014988821836878744,99
89,0.009029921031577046,0.11738772300020159,0.0010696608215173342,100
